295,20,10,117,57
296,20,11,104,67
297,20,12,134,
298,20,13,73,30
299,20,14,122,77
300,20,15,,60
301,21,1,120,67
302,21,2,97,50
303,21,3,108,71
304,21,4,138,91
305,21,5,76,39
306,21,6,124,67
307,21,7,86,50
308,21,8,137,76
309,21,9,78,40
310,21,10,83,46
311,21,11,122,81
312,21,12,146,80
313,21,13,127,83
314,21,14,142,80
315,21,15,89,46
316,22,1,127,96
317,22,2,115,73
318,22,3,122,81
319,22,4,129,
320,22,5,82,68
321,22,6,120,83
322,22,7,76,34
323,22,8,122,74
324,22,9,76,55
325,22,10,126,88
326,22,11,79,53
327,22,12,104,77
328,22,13,112,77
329,22,14,,86
330,22,15,71,46
331,23,1,71,
332,23,2,147,98
333,23,3,71,55
334,23,4,125,89
335,23,5,125,80
336,23,6,126,74
337,23,7,138,96
338,23,8,103,62
339,23,9,111,77
340,23,10,117,69
341,23,11,94,60
342,23,12,147,105
343,23,13,72,53
344,23,14,87,53
345,23,15,105,74
346,24,1,117,63
347,24,2,148,89
348,24,3,137,78
349,24,4,135,75
350,24,5,79,52
351,24,6,110,77
352,24,7,140,85
353,24,8,140,95
354,24,9,82,56
355,24,10,143,83
356,24,11,90,56
357,24,12,136,77
358,24,13,82,45
359,24,14,77,39
360,24,15,129,85
361,25,1,77,59
362,25,2,117,63
363,25,3,123,59
364,25,4,122,81
365,25,5,102,66
366,25,6,132,82
367,25,7,111,62
368,25,8,138,81
369,25,9,87,44
370,25,10,137,100
371,25,11,113,77
372,25,12,109,48
373,25,13,99,65
374,25,14,111,58
375,25,15,147,92
